PRECINCT_NAME,PRECINCT_CODE,CTYSOSID,COUNTY_NAM,ajc_precinct,woolard_votes,mitchell_votes,County,wrightson_votes,eaves_votes,bottoms_votes,hall_votes,norwood_votes,sterling_votes,aman_votes,Precinct,ammanamanchi_votes,fort_votes,king_votes,county,_merge
01P,01P,12101P,FULTON,01P,2.0,22.0,FULTON,0.0,2.0,133.0,15.0,40.0,2.0,2.0,01P,0.0,41.0,0.0,FULTON,both
01R,01R,12101R,FULTON,01R,1.0,14.0,FULTON,0.0,2.0,111.0,7.0,16.0,0.0,1.0,01R,1.0,30.0,0.0,FULTON,both
01E,01E,12101E,FULTON,01E,519.0,195.0,FULTON,5.0,16.0,160.0,58.0,231.0,3.0,142.0,01E,6.0,119.0,0.0,FULTON,both
01A,01A,12101A,FULTON,01A,494.0,171.0,FULTON,3.0,9.0,176.0,52.0,188.0,2.0,88.0,01A,1.0,126.0,0.0,FULTON,both
05A1,05A1,12105A1,FULTON,05A1,498.0,41.0,FULTON,4.0,1.0,89.0,46.0,74.0,2.0,69.0,05A1,4.0,100.0,0.0,FULTON,both
01B,01B,12101B,FULTON,01B,646.0,199.0,FULTON,4.0,11.0,175.0,82.0,238.0,0.0,136.0,01B,5.0,172.0,0.0,FULTON,both
COAN REC (ATL),CN,089WC,DEKALB,COAN REC (ATL),362.0,80.0,DEKALB,2.0,11.0,231.0,53.0,111.0,2.0,50.0,COAN REC (ATL),4.0,186.0,0.0,DEKALB,both
EPWORTH (ATL),EE,089EE,DEKALB,EPWORTH (ATL),1037.0,88.0,DEKALB,3.0,16.0,104.0,74.0,256.0,1.0,190.0,EPWORTH (ATL),1.0,186.0,0.0,DEKALB,both
LIN-MARY ELEM (ATL),LE,089LE,DEKALB,LIN-MARY ELEM (ATL),487.0,54.0,DEKALB,1.0,14.0,57.0,39.0,215.0,0.0,163.0,LIN-MARY ELEM (ATL),2.0,139.0,0.0,DEKALB,both
BOULEVARD (ATL),BB,089BB,DEKALB,BOULEVARD (ATL),699.0,120.0,DEKALB,2.0,14.0,312.0,103.0,201.0,1.0,114.0,BOULEVARD (ATL),4.0,175.0,0.0,DEKALB,both
BURGESS ELEM (ATL),BR,089BR,DEKALB,BURGESS ELEM (ATL),330.0,109.0,DEKALB,2.0,9.0,234.0,52.0,135.0,1.0,88.0,BURGESS ELEM (ATL),3.0,207.0,0.0,DEKALB,both
METROPOLITAN (ATL),MT,089MT,DEKALB,METROPOLITAN (ATL),340.0,98.0,DEKALB,5.0,9.0,235.0,51.0,135.0,1.0,77.0,METROPOLITAN (ATL),2.0,198.0,0.0,DEKALB,both
02G,02G,12102G,FULTON,02G,437.0,71.0,FULTON,3.0,7.0,115.0,127.0,112.0,1.0,130.0,02G,2.0,75.0,0.0,FULTON,both
02D,02D,12102D,FULTON,02D,283.0,104.0,FULTON,0.0,21.0,215.0,163.0,114.0,1.0,88.0,02D,2.0,99.0,0.0,FULTON,both
02F2,02F2,12102F2,FULTON,02F2,73.0,13.0,FULTON,0.0,0.0,31.0,20.0,22.0,0.0,17.0,02F2,0.0,13.0,0.0,FULTON,both
02J,02J,12102J,FULTON,02J,312.0,32.0,FULTON,1.0,12.0,44.0,48.0,145.0,0.0,77.0,02J,7.0,65.0,0.0,FULTON,both
06G,06G,12106G,FULTON,06G,72.0,8.0,FULTON,0.0,0.0,25.0,10.0,47.0,0.0,33.0,06G,1.0,19.0,0.0,FULTON,both
06B,06B,12106B,FULTON,06B,277.0,17.0,FULTON,2.0,10.0,46.0,12.0,122.0,0.0,90.0,06B,2.0,29.0,0.0,FULTON,both
02E,02E,12102E,FULTON,02E,359.0,39.0,FULTON,3.0,11.0,43.0,64.0,93.0,0.0,171.0,02E,0.0,102.0,0.0,FULTON,both
02F1,02F1,12102F1,FULTON,02F1,421.0,36.0,FULTON,2.0,6.0,71.0,59.0,116.0,1.0,92.0,02F1,3.0,109.0,0.0,FULTON,both
06F,06F,12106F,FULTON,06F,354.0,37.0,FULTON,3.0,7.0,100.0,43.0,159.0,0.0,152.0,06F,6.0,88.0,0.0,FULTON,both
06L1,06L1,12106L1,FULTON,06L1,126.0,25.0,FULTON,0.0,6.0,17.0,6.0,125.0,1.0,131.0,06L1,0.0,10.0,0.0,FULTON,both
07F,07F,12107F,FULTON,07F,68.0,36.0,FULTON,1.0,10.0,84.0,10.0,378.0,1.0,226.0,07F,0.0,29.0,0.0,FULTON,both
07D,07D,12107D,FULTON,07D,58.0,46.0,FULTON,4.0,10.0,133.0,15.0,306.0,1.0,155.0,07D,5.0,33.0,0.0,FULTON,both
07N,07N,12107N,FULTON,07N,35.0,20.0,FULTON,0.0,7.0,118.0,7.0,53.0,0.0,21.0,07N,4.0,28.0,0.0,FULTON,both
07M,07M,12107M,FULTON,07M,28.0,28.0,FULTON,2.0,6.0,83.0,9.0,111.0,1.0,69.0,07M,2.0,26.0,0.0,FULTON,both
